,category,id,question,type,flat list,test
14345,resource,dbpedia_21612,Name all the hubs of the airlines whose one of the hubs is Selangir ?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14351,resource,dbpedia_2233,n/a,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14352,resource,dbpedia_8963,How big is the Cliff Kill Site national park?,"['dbo:MountainRange', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:MountainRange' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
14365,resource,dbpedia_8917,Which international airport is located in Salt Lake City?,"['dbo:Airport', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Airport' 'dbo:Infrastructure' 'dbo:ArchitecturalStructure'
 'dbo:Place' 'dbo:Location']",True
14373,resource,dbpedia_7652,What is the twin town of the city of birth of Edward Burnett Tylor?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14383,resource,dbpedia_19798,What is pitro Gruszka hometown ?,"['dbo:Settlement', 'dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Settlement' 'dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14384,resource,dbpedia_21254,Which destinations of the Air 2000 is also the location continent of the Falken Tire ?,"['dbo:Country', 'dbo:Continent', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:Continent' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14405,resource,dbpedia_16329,Tell me mosque whose name has the word sultan in it.,"['dbo:Mosque', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Mosque' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
14411,resource,dbpedia_20408,What is the nationality of the golf player who won the  2002 Players Championship ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14418,resource,dbpedia_15378,Who gave the{next crossing upstream} of {shooting location} of {Independence Day: Resurgence} ?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
14423,resource,dbpedia_17309,What global city is described in Twenty Thousand Leagues Under the Sea?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14425,resource,dbpedia_6852,WHICH IS THE SCIENCE MUSEUM WITH THE MAXIMUM VISITORS PER YEAR,"['dbo:Museum', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Museum' 'dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place'
 'dbo:Location']",True
14429,resource,dbpedia_3335,Which is {birthplace} {state} of {Victor Emmanuel I of Sardinia} ?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14432,resource,dbpedia_5137,who is the Christian chapel for patron saint of Anthony of Padua?,"['dbo:Church', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Church' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
14435,resource,dbpedia_19257,In which country did the planes designed by Ursula Hanle originate?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14438,resource,dbpedia_7068,What country that is a member of the International Centre for Settlement of Investment Disputes has the most GDP?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14474,resource,dbpedia_10998,"In the administrative unit of New Calendonia, has Lagun Onari won the award?","['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14476,resource,dbpedia_22373,"Which rivers have source origins asnorth western, Zambia ?","['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14477,resource,dbpedia_1835,Tell me the federal states that starts with the letter s,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14483,resource,dbpedia_2499,What is located on linear feature of the London Underground?,"['dbo:MetroStation', 'dbo:RailwayStation', 'dbo:Station', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:MetroStation' 'dbo:RailwayStation' 'dbo:Station' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
14495,resource,dbpedia_20254,"List all the settlements which has a part named Seguin,Texas ?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14508,resource,dbpedia_21054,What is the national origin of Focke-Wulf Fw 260 ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14510,resource,dbpedia_19513,"Where was Henri, Duke of Rohan laid to rest?","['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14511,resource,dbpedia_11960,What tributary ends in the Jari River?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14514,resource,dbpedia_7425,Where is {place of death} of {Helen Keller} that is {located in the administrative territorial entity} is {Connecticut} ?,"['dbo:Town', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Town' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14516,resource,dbpedia_4782,What is the subtopic in the economy of Japan with diplomatic relation with Afghanistan?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14517,resource,dbpedia_20478,"Which founder of European School, karlsruhe is also the jursdiction of Eurpoean Border of Coast guard ?","['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14525,resource,dbpedia_18172,"Whose album is Haiti, I am sorry?","['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14529,resource,dbpedia_18401,In which city is the hub airport of Club One Air?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14532,resource,dbpedia_4932,What is The Adventures of Tintin's country of orgin and the language used?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14553,resource,dbpedia_18904,Name the sea located near Europe and has a nearby city as Rostock ?,"['dbo:Lake', 'dbo:Sea', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Lake' 'dbo:Sea' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14556,resource,dbpedia_17415,which is the secular state with the highest total reserves whose diplomatic relation is eduador?,"['dbo:State', 'dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14591,resource,dbpedia_20312,List the border of the admin region which shares border with North Korea ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14597,resource,dbpedia_14880,What is the {twin town} of {Suzhou} that has {category of associated people} from {Category: People from Esbjerg}?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14598,resource,dbpedia_1750,What is the  relation between South Ossetia and  Nicaragua-South Ossetia?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14599,resource,dbpedia_15801,what is left wing of driving side,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14602,resource,dbpedia_3093,Which is the architectural style of postmodernism?,"['dbo:RailwayStation', 'dbo:Station', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:RailwayStation' 'dbo:Station' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
14605,resource,dbpedia_5529,Where is Messier in the galaxy?,"['dbo:Constellation', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Constellation' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
14606,resource,dbpedia_13861,Where did the Biblical story of Exodus take place?,"['dbo:HistoricalRegion', 'dbo:Region', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:HistoricalRegion' 'dbo:Region' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14621,resource,dbpedia_21720,"Where does the river flow into, which starts at the Sierra Madre de Chiapas?","['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14626,resource,dbpedia_21051,What is the home town of the Band which is the previous work of Sammy Hagar & Friends ?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14627,resource,dbpedia_13334,Who is the head of government for the constitutional republic of Moon Jae-in?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14638,resource,dbpedia_23330,Which mountains are higher than the Nanga Parbat?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
14640,resource,dbpedia_594,Give the name of the hill with the highest isolation whose is at a high range.,"['dbo:Mountain', 'dbo:MountainRange', 'dbo:Volcano', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Mountain' 'dbo:MountainRange' 'dbo:Volcano' 'dbo:NaturalPlace'
 'dbo:Place' 'dbo:Location']",True
14653,resource,dbpedia_9464,What civic building contains the word house in its name?,"['dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']",['dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location'],True
14661,resource,dbpedia_20112,Who is the founder of the trade union with whom Amalgamated Clothing Workers of America is affiliated?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14664,resource,dbpedia_22417,Name the largest city in the county where there is a Cy-Fair High School.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14672,resource,dbpedia_19072,Where does the rivers ending in lake washington begin?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14675,resource,dbpedia_15473,What is the diplomatic relation of International Energy Agency member the Kingdom of Hawaii?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14688,resource,dbpedia_23271,What is the highest mountain?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
14691,resource,dbpedia_15893,Which city is the capital of England?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14696,resource,dbpedia_8283,What is the location of narrative of the Tropic of Cancer that has towns in the 11th arrondissement of Paris?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14699,resource,dbpedia_3490,Which is the island nation for the country of pound sterling?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14700,resource,dbpedia_6897,WHAT IS THE BORN OF ANNE ENRIGHT,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14701,resource,dbpedia_13570,Which is the city of Indonesia that is located in the administrative territorial entity of Dutch East Indies?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14702,resource,dbpedia_11757,Tell me hot spring whose name has the word unapdev in it.,"['dbo:HotSpring', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:HotSpring' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
14705,resource,dbpedia_23122,Where did Abraham Lincoln die?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14709,resource,dbpedia_7330,"Which is the hometown of Kevin Martin, that is next to Beaumont?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14723,resource,dbpedia_23357,In which country is Mecca located?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14749,resource,dbpedia_14661,Mention in which city in United States was Friends pictured.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14771,resource,dbpedia_1768,Which country is landlocked in East Asia,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14777,resource,dbpedia_4500,What is located in the state of Idaho that has diplomatic relations with Dominica?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14798,resource,dbpedia_10510,What is it?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14799,resource,dbpedia_13179,What is the carries of this vehicle?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
14806,resource,dbpedia_10070,"Name a small planet that contains the word "" 90377"" in its name","['dbo:Asteroid', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Asteroid' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
14809,resource,dbpedia_17401,WHICH IS LOCATED ON STREET OF NATIONAL TECHNICAL MUSEUM,"['dbo:Street', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Street' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14812,resource,dbpedia_15004,In what country was the pope born in?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14814,resource,dbpedia_19689,Which country has given citizenship to both saima chowdhury and edmund john?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14817,resource,dbpedia_8629,Municipal President of Nezahualcoytol's country is bordered by what nation?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14827,resource,dbpedia_5004,What is on shore of Olympic Peninsula whose tributary is Maria Linda River?,"['dbo:Ocean', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Ocean' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14832,resource,dbpedia_10620,What location displaying the Coat of arms of Vyazma is the birthplace of Boris Godunov?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14844,resource,dbpedia_21053,What is the official residence of the Christopher Daz Figuero which is also the  state of the Cruce a Nado Internacional,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14854,resource,dbpedia_14026,What are the neighborhood  which start with the letter z,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14855,resource,dbpedia_7637,who zenith of parent range of rockchuck peak ?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
14882,resource,dbpedia_6552,What is the city location of Vladimir Lenin,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14902,resource,dbpedia_18681,Name the home town of Cline Buckens ?,"['dbo:Country', 'dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14908,resource,dbpedia_17492,"What is the location of death of Antipater, whose denomination is the denomination in ancient Greece?","['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14909,resource,dbpedia_9275,Who gave the{deepest point} of {endemism} of {Guibemantis tornieri} ?,"['dbo:Ocean', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Ocean' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14917,resource,dbpedia_18272,Name all the junctions of U.S. Route 59?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14924,resource,dbpedia_19767,List all that flows into the north sea?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14930,resource,dbpedia_2407,When did country for contains administrative territorial entity of Tripura?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14950,resource,dbpedia_26,Which member state of the International Centre for Settlement of Investment Disputes has the maximum inflation rate?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14958,resource,dbpedia_20646,What are some rivers in Zambia which have a dam on them?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14959,resource,dbpedia_3346,What country is Abuja the capitol of?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14973,resource,dbpedia_14534,Which is bordered by the principle office of The Daily Manila Shimbun?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14974,resource,dbpedia_4536,Which is the origin of the watercourse of Aconcagua?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
14982,resource,dbpedia_2024,Which country in the Netherlands has the largest VAT-rate and is a member of the International Trade Union Confederation?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14992,resource,dbpedia_4710,What is the Mona Lisa's sovereign state?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
14993,resource,dbpedia_17053,Where is the Greenpeace headquarters in the Netherlands located?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
14994,resource,dbpedia_14588,Which is the city that shares a border with LA?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
15002,resource,dbpedia_23328,Give me all cities in New Jersey with more than 100000 inhabitants.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
15004,resource,dbpedia_22289,Name the loocation of Lekh Castle which is also the location of SamurAbsheron channel ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
15006,resource,dbpedia_8262,Who {is in the voivodeship of} of {works at} of {Alan Watson} ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
15012,resource,dbpedia_13757,What are the city which start with the letter w,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
15016,resource,dbpedia_6283,What country does Zinedine Zidane play sports for?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
15018,resource,dbpedia_13736,"Name a skyscraper that contains the word "" world"" in its name","['dbo:Skyscraper', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Skyscraper' 'dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place'
 'dbo:Location']",True
